City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Anchorage,US,2020-06-17 05:09:08,61.22,-149.9,292.15,34,40,1.5
225,Cherskiy,RU,2020-06-17 05:12:55,68.75,161.3,299.05,25,71,2.57
226,Itupiranga,BR,2020-06-17 05:12:56,-5.13,-49.33,298.15,88,1,1.39
227,Chuy,UY,2020-06-17 05:12:56,-33.7,-53.46,289.62,94,91,4.35
228,Sitka,US,2020-06-17 05:12:56,57.05,-135.33,284.15,76,90,2.6
229,Meadow Lake,US,2020-06-17 05:12:57,34.8,-106.54,296.15,33,40,5.1
230,Kudahuvadhoo,MV,2020-06-17 05:12:57,2.67,72.89,302.18,78,79,5.36
231,Port Lincoln,AU,2020-06-17 05:12:57,-34.73,135.87,289.04,65,13,5.33
232,Zhanakorgan,KZ,2020-06-17 05:12:57,43.91,67.25,297.06,27,0,6.32
233,El Rosario,MX,2020-06-17 05:12:58,24.26,-107.18,298.71,89,64,2.83
234,Kirakira,SB,2020-06-17 05:12:58,-10.45,161.92,301.11,77,93,3.35
235,Koumac,NC,2020-06-17 05:12:58,-20.57,164.28,297.47,65,20,4.18
236,Mandalgovi,MN,2020-06-17 05:12:58,45.76,106.27,295.81,39,0,10.18
237,Savantvadi,IN,2020-06-17 05:12:59,15.9,73.82,299.15,100,90,3.1
238,Eureka,US,2020-06-17 05:12:59,40.8,-124.16,286.48,87,0,2.68
239,Mitsamiouli,KM,2020-06-17 05:12:59,-11.38,43.28,299.21,67,52,1.76
240,Tual,ID,2020-06-17 05:12:59,-5.67,132.75,300.21,81,70,10.92
241,Kupang,ID,2020-06-17 05:13:00,-10.17,123.58,305.15,52,20,9.3
242,Westport,US,2020-06-17 05:12:58,41.14,-73.36,291.15,82,1,2.1
243,Opunake,NZ,2020-06-17 05:13:00,-39.46,173.86,287.59,50,93,1.34
244,Hermanus,ZA,2020-06-17 05:13:00,-34.42,19.23,282.59,84,0,0.89
245,Saint-Augustin,CA,2020-06-17 05:13:00,51.23,-58.65,285.28,78,100,3.21
246,Talnakh,RU,2020-06-17 05:13:01,69.49,88.4,279.15,60,75,7.0
247,Nardaran,AZ,2020-06-17 05:13:01,40.56,50.01,299.15,65,99,8.2
248,Torbay,CA,2020-06-17 05:13:01,47.67,-52.73,286.15,58,20,7.7
249,Hastings,GB,2020-06-17 05:09:26,50.86,0.57,287.59,100,83,2.1
250,Guerrero Negro,MX,2020-06-17 05:13:02,27.98,-114.06,290.78,86,0,6.12
251,Dzerzhinsk,RU,2020-06-17 05:13:02,56.24,43.46,295.15,73,100,1.0
252,Oda,JP,2020-06-17 05:13:02,35.18,132.5,299.15,47,75,4.1
253,Epe,NG,2020-06-17 05:13:02,6.58,3.98,298.89,88,98,2.21
254,Siteki,SZ,2020-06-17 05:09:21,-26.45,31.95,282.6,95,100,2.34
255,Burriana,ES,2020-06-17 05:13:03,39.89,-0.09,292.59,87,21,2.1
256,San Ramon,US,2020-06-17 05:09:49,37.78,-121.98,291.48,59,1,1.5
257,Khatanga,RU,2020-06-17 05:13:03,71.97,102.5,285.98,40,75,3.27
258,Tsiroanomandidy,MG,2020-06-17 05:13:03,-18.77,46.03,290.72,69,8,2.53
259,Cradock,ZA,2020-06-17 05:13:04,-32.16,25.62,276.26,79,0,1.16
260,Tselinnoye,RU,2020-06-17 05:13:04,53.08,85.67,293.13,66,63,4.46
261,Aklavik,CA,2020-06-17 05:13:04,68.22,-135.01,294.15,46,40,1.0
262,Cabo San Lucas,MX,2020-06-17 05:12:45,22.89,-109.91,302.04,62,50,5.91
263,Nishihara,JP,2020-06-17 05:13:04,26.18,127.76,304.15,74,75,7.7
264,Bowen,AU,2020-06-17 05:13:05,-20.02,148.23,297.15,69,90,5.1
265,Ostersund,SE,2020-06-17 05:13:05,63.18,14.64,287.15,82,41,1.5
266,Atar,MR,2020-06-17 05:13:05,20.52,-13.05,306.47,24,28,8.62
267,Itiuba,BR,2020-06-17 05:13:05,-10.69,-39.85,292.0,95,53,3.33
268,Churapcha,RU,2020-06-17 05:13:06,62.0,132.43,299.05,30,46,3.57
269,Nakhon Phanom,TH,2020-06-17 05:13:06,17.41,104.78,299.15,94,75,2.1
270,Mount Gambier,AU,2020-06-17 05:13:06,-37.83,140.77,287.15,58,75,3.1
271,Cap Malheureux,MU,2020-06-17 05:13:06,-19.98,57.61,295.93,75,15,6.71
272,Namatanai,PG,2020-06-17 05:13:06,-3.67,152.43,301.98,70,51,0.81
273,Acapulco,MX,2020-06-17 05:13:07,16.86,-99.89,300.54,78,14,1.75
274,Tarakan,ID,2020-06-17 05:13:07,3.3,117.63,301.8,73,4,1.78
275,Rincon,US,2020-06-17 05:13:07,32.3,-81.24,292.15,88,90,2.6
276,Gloversville,US,2020-06-17 05:13:07,43.05,-74.34,288.15,100,1,2.1
277,Wucheng,CN,2020-06-17 05:13:08,29.6,118.17,304.82,91,73,5.31
278,Harbour Breton,CA,2020-06-17 05:13:08,47.48,-55.8,283.2,81,93,4.37
279,Ayabaca,PE,2020-06-17 05:13:08,-4.64,-79.71,282.93,100,0,2.94
280,Kangaba,ML,2020-06-17 05:13:08,11.93,-8.42,297.98,75,100,3.45
281,Pirai Do Sul,BR,2020-06-17 05:13:08,-24.53,-49.95,286.48,99,63,0.45
282,Barraute,CA,2020-06-17 05:13:09,48.43,-77.63,293.15,42,90,4.1
283,Kabare,CD,2020-06-17 05:13:09,-2.47,28.82,288.64,84,15,0.82
284,Svetlaya,RU,2020-06-17 05:13:09,46.54,138.33,283.31,80,98,4.01
285,Toamasina,MG,2020-06-17 05:13:09,-18.17,49.38,293.15,94,75,6.2
286,Cascas,PE,2020-06-17 05:13:09,-7.48,-78.82,291.28,69,18,1.14
287,Tobermory,CA,2020-06-17 05:13:10,45.25,-81.67,286.59,59,0,4.23
288,Almaznyy,RU,2020-06-17 05:13:10,48.04,40.05,294.15,68,20,5.0
289,Verkhoyansk,RU,2020-06-17 05:13:10,67.54,133.38,299.83,29,98,3.38
290,Yar-Sale,RU,2020-06-17 05:13:10,66.83,70.83,281.15,51,44,6.51
291,Manta,EC,2020-06-17 05:13:11,-0.95,-80.73,295.87,80,78,2.2
292,Domoni,KM,2020-06-17 05:13:11,-12.26,44.53,297.39,77,90,4.63
293,Pampa,US,2020-06-17 05:13:11,35.54,-100.96,299.15,47,1,5.7
294,Padang,ID,2020-06-17 05:13:11,-0.95,100.35,302.35,71,11,2.06
295,Ancud,CL,2020-06-17 05:13:12,-41.87,-73.82,283.71,100,75,4.1
296,Dauphin,CA,2020-06-17 05:13:12,51.15,-100.05,290.15,67,1,2.1
297,Yumen,CN,2020-06-17 05:13:12,40.28,97.2,302.93,12,0,2.36
298,Asfi,MA,2020-06-17 05:09:51,32.3,-9.24,292.21,81,62,6.39
299,Bubaque,GW,2020-06-17 05:13:13,11.28,-15.83,300.38,80,54,6.83
300,Roald,NO,2020-06-17 05:13:13,62.58,6.13,291.48,93,77,2.6
301,Lagoa,PT,2020-06-17 05:13:13,39.05,-27.98,291.03,88,76,7.14
302,Kasongo-Lunda,CD,2020-06-17 05:13:14,-6.47,16.82,289.35,47,0,1.14
